"V1","V2","V3"
"1","Impseq","1","1"
"2","bpca","0.933333333333333","2"
"3","GMS","0.866666666666667","3"
"4","MinDet","0.8","4"
"5","missForest","0.733333333333333","5"
"6","MinProb","0.666666666666667","6"
"7","SeqKNN","0.6","7"
"8","nbavg","0.533333333333333","8"
"9","QRILC","0.466666666666667","9"
"10","mice","0.4","10"
"11","min","0.333333333333333","11"
"12","Impseqrob","0.266666666666667","12"
"13","knn","0.2","13"
"14","zero","0.133333333333333","14"
"15","blank","0.0666666666666667","15"
"16","MLE","0","16"
